@relation 'bigTable-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.Remove-R33,35-38'

@attribute RF_10 numeric
@attribute RF_5 numeric
@attribute RF_3 numeric
@attribute RF_1 numeric
@attribute J4_10 numeric
@attribute J4_5 numeric
@attribute J4_3 numeric
@attribute J4_1 numeric
@attribute OR_10 numeric
@attribute OR_5 numeric
@attribute OR_3 numeric
@attribute OR_1 numeric
@attribute CS_10 numeric
@attribute CS_5 numeric
@attribute CS_3 numeric
@attribute CS_1 numeric
@attribute IG_10 numeric
@attribute IG_5 numeric
@attribute IG_3 numeric
@attribute IG_1 numeric
@attribute P_10 numeric
@attribute P_5 numeric
@attribute P_3 numeric
@attribute P_1 numeric
@attribute PCA_10 numeric
@attribute PCA_5 numeric
@attribute PCA_3 numeric
@attribute PCA_1 numeric
@attribute R_10 numeric
@attribute R_5 numeric
@attribute R_3 numeric
@attribute R_1 numeric
@attribute Recall numeric

@data
0.51,0.585,0.624,0.706,0.001,0.002,0.002,0.003,98.6,98.8,98.9,99,439.5,669.1,716,787.6,0.059,0.075,0.079,0.086,0.112,0.185,0.222,0.303,0.227,0.355,0.439,0.56,0.143,0.192,0.238,0.316,1
0.082,0.087,0.09,0.097,0.01,0.01,0.01,0.01,100,100,100,100,1523,1523,1523,1523,0.08,0.08,0.08,0.08,-0.143,-0.09,-0.058,-0.03,0.212,0.341,0.437,0.591,0.697,0.81,0.863,0.921,1
0.529,0.629,0.68,0.765,0.01,0.018,0.023,0.025,97.9,98.3,98.6,99,862.3,1144.3,1287.8,1407,0.134,0.159,0.174,0.184,0.107,0.129,0.132,0.135,0.224,0.352,0.436,0.557,0.101,0.134,0.141,0.153,1
0.193,0.206,0.216,0.225,0,0,0,0,95.7,95.9,95.9,96,31.1,62.3,103.8,153,0.007,0.013,0.022,0.025,0.035,0.064,0.075,0.083,0.221,0.347,0.431,0.554,0.048,0.059,0.07,0.097,0.05
0.318,0.336,0.343,0.356,0.007,0.011,0.013,0.015,96,96.4,96.6,96.8,2549.6,4171.9,4746.2,5300.2,0.039,0.06,0.068,0.076,0.164,0.232,0.274,0.305,0.456,0.56,0.622,0.722,0.019,0.024,0.028,0.03,0.557789
0.317,0.332,0.343,0.35,0.006,0.01,0.011,0.013,96,96.3,96.5,96.6,2288.2,3605.9,3873.3,4067.6,0.038,0.06,0.064,0.066,0.138,0.214,0.252,0.311,0.486,0.594,0.662,0.778,0.02,0.026,0.029,0.034,0.573864
0.323,0.336,0.345,0.382,0.007,0.012,0.014,0.014,95.9,96.4,96.6,96.6,4040,6762.6,8071.3,8161.3,0.044,0.071,0.086,0.089,0.142,0.206,0.252,0.347,0.48,0.583,0.654,0.776,0.019,0.026,0.031,0.032,0.691763
0.325,0.338,0.343,0.356,0.004,0.007,0.007,0.007,95.9,96.2,96.3,96.3,1524.7,2356.7,2497.8,2544.1,0.034,0.051,0.056,0.057,0.124,0.2,0.243,0.309,0.455,0.574,0.652,0.784,0.025,0.033,0.04,0.048,0.647887
0.355,0.372,0.386,0.44,0.007,0.011,0.011,0.012,95.9,96.3,96.4,96.4,4194,6891.5,7208.7,7278.6,0.04,0.065,0.068,0.07,0.148,0.225,0.272,0.296,0.56,0.666,0.737,0.83,0.023,0.03,0.034,0.04,0.610781
0.293,0.324,0.335,0.359,0.038,0.064,0.079,0.111,89,91.6,93.1,96.3,6316.9,10540.4,12686.4,17828,0.136,0.228,0.277,0.404,-0.063,0.095,0.218,0.547,0.299,0.504,0.615,0.786,0.02,0.031,0.037,0.048,0.965362
0.295,0.295,0.295,0.358,0.097,0.097,0.097,0.128,96.1,96.1,96.1,99.3,11385.7,11385.7,11385.7,14913.9,0.4,0.4,0.4,0.533,0.215,0.215,0.215,0.272,0.11,0.11,0.11,0.327,0.001,0.001,0.001,0.002,0.997208
0.327,0.327,0.327,0.459,0.011,0.011,0.011,0.012,99.9,99.9,99.9,100,12704.9,12704.9,12704.9,13814,0.093,0.093,0.093,0.098,0.027,0.027,0.027,0.042,0.109,0.109,0.109,0.327,0.009,0.009,0.009,0.027,1
0.22,0.22,0.22,0.651,0.055,0.055,0.055,0.166,89,89,89,100,5521.8,5521.8,5521.8,16341.8,0.222,0.222,0.222,0.647,-0.049,-0.049,-0.049,-0.015,0.109,0.109,0.109,0.327,0.003,0.003,0.003,0.009,1
0.301,0.301,0.301,0.354,0.148,0.148,0.148,0.303,83.9,83.9,83.9,99.3,8739.8,8739.8,8739.8,19462,0.366,0.366,0.366,0.857,0.059,0.059,0.059,0.141,0.111,0.111,0.111,0.329,0.001,0.001,0.001,0.002,0.99768
0.265,0.265,0.265,0.319,0.099,0.099,0.099,0.128,91.6,91.6,91.6,94.6,10614.7,10614.7,10614.7,14537.3,0.333,0.333,0.333,0.5,0.101,0.101,0.101,0.242,0.111,0.111,0.111,0.329,0.001,0.001,0.001,0.002,0.733842
0.286,0.286,0.286,0.356,0.132,0.132,0.132,0.272,84.3,84.3,84.3,98.2,8360.2,8360.2,8360.2,18452.9,0.333,0.333,0.333,0.775,0.044,0.044,0.044,0.093,0.111,0.111,0.111,0.329,0,0,0,0,1
0.272,0.272,0.272,0.334,0.134,0.134,0.134,0.235,85.4,85.4,85.4,95.5,8686.8,8686.8,8686.8,16452,0.339,0.339,0.339,0.686,0.068,0.068,0.068,0.163,0.111,0.111,0.111,0.329,0.001,0.001,0.001,0.002,1
0.254,0.254,0.254,0.312,0.074,0.074,0.074,0.208,86.2,86.2,86.2,99.7,7133.5,7133.5,7133.5,19794.9,0.264,0.264,0.264,0.731,0.019,0.019,0.019,0.033,0.111,0.111,0.111,0.329,0,0,0,0.001,0.910633
0.265,0.265,0.265,0.348,0.02,0.02,0.02,0.038,97.9,97.9,97.9,99.7,7503.8,7503.8,7503.8,13678.9,0.125,0.125,0.125,0.235,0.1,0.1,0.1,0.216,0.11,0.11,0.11,0.33,0,0,0,0.001,0.980492
0.105,0.105,0.105,0.303,0.018,0.018,0.018,0.053,96.4,96.4,96.4,100,4817.3,4817.3,4817.3,14388.2,0.102,0.102,0.102,0.3,-0.027,-0.027,-0.027,-0.008,0.109,0.109,0.109,0.327,0.004,0.004,0.004,0.011,1
0.283,0.283,0.283,0.336,0.16,0.16,0.16,0.312,84.1,84.1,84.1,99.4,9127.8,9127.8,9127.8,19502.8,0.385,0.385,0.385,0.868,0.131,0.131,0.131,0.14,0.111,0.111,0.111,0.329,0.001,0.001,0.001,0.002,0.997056
0.322,0.333,0.343,0.371,0,0.001,0.001,0.002,90.4,90.4,90.5,90.6,584,798.5,929.3,1188.6,0.011,0.014,0.016,0.02,0.031,0.04,0.047,0.051,0.45,0.588,0.667,0.787,0.012,0.012,0.013,0.014,0.620968
0.329,0.344,0.35,0.355,0,0.001,0.001,0.002,90.4,90.4,90.5,90.6,584,798.5,929.3,1188.6,0.011,0.014,0.016,0.02,0.035,0.041,0.048,0.051,0.45,0.588,0.667,0.787,0.012,0.012,0.013,0.014,0.69491
0.327,0.338,0.343,0.353,0,0,0,0.001,91.3,91.3,91.3,91.3,604,687,723.3,804.4,0.012,0.013,0.014,0.014,0.03,0.035,0.04,0.04,0.45,0.588,0.667,0.787,0.013,0.014,0.015,0.015,0.405108
0.332,0.347,0.357,0.373,0,0,0.001,0.001,89.8,89.8,89.9,89.9,770.8,953,1040.2,1263,0.015,0.019,0.02,0.025,0.032,0.034,0.036,0.039,0.45,0.588,0.667,0.787,0.011,0.012,0.013,0.014,0.618128
0.332,0.34,0.344,0.353,0.001,0.001,0.001,0.002,89.2,89.2,89.3,89.3,892.3,1096.7,1218.9,1354,0.017,0.021,0.023,0.026,0.034,0.039,0.043,0.048,0.45,0.588,0.667,0.787,0.012,0.012,0.013,0.015,0.677591
0.326,0.342,0.354,0.373,0,0,0,0.001,91.3,91.3,91.3,91.3,604,687,723.3,804.4,0.012,0.013,0.014,0.014,0.027,0.034,0.039,0.039,0.45,0.588,0.667,0.787,0.013,0.014,0.015,0.015,0.178661
0.284,0.296,0.302,0.311,0,0,0,0,97.5,97.5,97.5,97.5,337.5,459,526.9,618.5,0.004,0.004,0.005,0.006,0.034,0.043,0.053,0.063,0.444,0.583,0.663,0.784,0.026,0.03,0.033,0.04,0.529229
0.282,0.287,0.292,0.303,0,0,0,0,97.5,97.5,97.5,97.5,337.5,459,526.9,618.5,0.004,0.004,0.005,0.006,0.034,0.043,0.053,0.063,0.444,0.583,0.663,0.784,0.026,0.03,0.033,0.04,0.523029
0.333,0.346,0.356,0.37,0.001,0.001,0.002,0.002,86.9,87,87,87.1,915.4,1099.4,1215.6,1348.6,0.019,0.023,0.025,0.026,0.029,0.038,0.047,0.048,0.45,0.588,0.667,0.787,0.01,0.011,0.011,0.012,0.657162
0.36,0.378,0.391,0.421,0.097,0.106,0.111,0.111,97.3,98.2,98.7,98.7,15810.9,17151.1,17839.7,17897.4,0.417,0.447,0.464,0.467,0.158,0.284,0.35,0.532,0.409,0.537,0.614,0.75,0.133,0.188,0.25,0.387,0.882474
0.49,0.608,0.711,0.934,0.003,0.004,0.005,0.005,99.6,99.7,99.8,99.8,9960.4,12569.2,13682.2,14085,0.036,0.04,0.042,0.043,0.16,0.193,0.233,0.33,0.409,0.537,0.614,0.75,0.161,0.218,0.267,0.353,0.816467
0.428,0.49,0.542,0.728,0.004,0.005,0.005,0.005,99.9,99.9,99.9,99.9,16002,17659.3,18197.8,18391.2,0.047,0.049,0.05,0.05,0.06,0.101,0.136,0.175,0.406,0.533,0.61,0.746,0.212,0.277,0.311,0.391,0.518124
0.376,0.414,0.434,0.463,0.095,0.106,0.11,0.111,97.8,98.9,99.3,99.4,16557,18209.5,18884.9,18891.2,0.426,0.466,0.481,0.482,0.252,0.297,0.35,0.525,0.409,0.537,0.614,0.75,0.153,0.204,0.25,0.394,0.927148
0.394,0.449,0.502,0.701,0.094,0.102,0.106,0.106,97.6,98.3,98.8,98.8,16050.9,17198.4,17877.4,17903.9,0.41,0.434,0.449,0.453,0.246,0.304,0.355,0.535,0.409,0.537,0.614,0.75,0.133,0.187,0.25,0.39,0.916308
0.387,0.415,0.431,0.505,0.007,0.008,0.009,0.009,99,99.1,99.1,99.2,9446.5,10302,10812.5,11040.7,0.065,0.069,0.071,0.071,0.103,0.122,0.141,0.206,0.409,0.537,0.614,0.75,0.156,0.204,0.237,0.299,0.515487
0.407,0.449,0.483,0.581,0.096,0.105,0.11,0.111,97.5,98.5,99,99,16098.7,17488.9,18209.7,18343.8,0.416,0.448,0.465,0.472,0.246,0.305,0.356,0.535,0.409,0.537,0.614,0.75,0.137,0.193,0.257,0.409,0.890872
0.375,0.401,0.418,0.436,0.093,0.103,0.107,0.107,98.4,99.3,99.8,99.8,16983.8,18565,19214.9,19300.5,0.432,0.467,0.481,0.484,0.154,0.287,0.342,0.544,0.406,0.533,0.61,0.746,0.186,0.276,0.371,0.641,0.994133
0.328,0.367,0.386,0.401,0.002,0.002,0.002,0.003,99.8,99.8,99.8,99.9,9759.4,10949.6,12390.9,17013.1,0.022,0.025,0.029,0.034,0.035,0.051,0.064,0.107,0.406,0.533,0.61,0.746,0.185,0.242,0.28,0.352,0.476974
0.424,0.47,0.485,0.49,0.02,0.024,0.028,0.034,98.5,98.9,99.3,99.9,6417.4,7460.6,8782.1,10008.2,0.153,0.171,0.189,0.211,0.046,0.092,0.132,0.141,0.392,0.546,0.644,0.784,0.241,0.296,0.324,0.366,0.99866
0.533,0.622,0.674,0.868,0.002,0.003,0.003,0.003,100,100,100,100,9113.7,10066,10066,10066,0.026,0.028,0.028,0.028,0.442,0.647,0.647,0.647,0.415,0.581,0.679,0.819,0.535,0.678,0.792,0.873,1
0.545,0.709,0.813,0.905,0.201,0.228,0.261,0.346,85.4,88.1,91.4,99.9,8673,9967.1,11503.3,15329.5,0.514,0.592,0.685,0.927,0.16,0.32,0.41,0.581,0.384,0.536,0.626,0.756,0.166,0.211,0.244,0.267,1
0.432,0.522,0.602,0.918,0.133,0.141,0.147,0.147,98.8,99.5,100,100,10807,11371.5,11745.8,11767,0.55,0.58,0.6,0.602,0.421,0.727,0.828,0.855,0.383,0.537,0.631,0.766,0.36,0.457,0.517,0.615,1
0.358,0.379,0.395,0.41,0.351,0.364,0.379,0.449,85.3,86.7,88.1,95,11139.1,12069.5,13154.6,17263.4,0.513,0.565,0.626,0.853,0.225,0.363,0.423,0.523,0.434,0.587,0.672,0.795,0.11,0.156,0.187,0.195,0.982284
0.367,0.382,0.391,0.397,0.004,0.009,0.011,0.013,92.9,93.3,93.6,93.7,2416.8,2728.2,2915.9,3049.9,0.125,0.134,0.142,0.163,0.132,0.163,0.172,0.189,0.41,0.559,0.652,0.787,0.168,0.225,0.248,0.258,0.834981
0.367,0.381,0.386,0.39,0.327,0.344,0.362,0.441,84.8,86.5,88.3,96.2,11161.7,12227.4,13466,17684.4,0.517,0.577,0.643,0.869,0.556,0.577,0.585,0.59,0.434,0.587,0.672,0.795,0.111,0.158,0.187,0.195,0.969736
0.366,0.39,0.397,0.409,0.35,0.363,0.378,0.449,85.4,86.7,88.2,95.2,11145.1,12090.6,13171.5,17324.1,0.513,0.566,0.626,0.855,0.561,0.584,0.588,0.593,0.434,0.587,0.672,0.795,0.11,0.156,0.187,0.195,0.98696
0.36,0.377,0.384,0.395,0.111,0.12,0.125,0.128,87.9,88.8,89.4,89.7,10755.5,11368.8,11779.7,12437.5,0.404,0.429,0.447,0.475,0.352,0.42,0.436,0.45,0.434,0.587,0.672,0.795,0.104,0.137,0.141,0.149,0.872632
0.36,0.369,0.374,0.387,0.198,0.224,0.255,0.287,78.3,81.1,84.3,87.6,8697.4,9837.2,11233.4,13142.1,0.395,0.451,0.516,0.636,0.438,0.457,0.465,0.465,0.434,0.587,0.672,0.795,0.1,0.143,0.171,0.195,0.967403
0.39,0.426,0.441,0.473,0.322,0.34,0.361,0.444,86.5,88.3,90.4,98.7,12270.3,13523,14960.5,19130.6,0.578,0.647,0.726,0.939,0.556,0.581,0.591,0.624,0.434,0.587,0.672,0.795,0.13,0.172,0.194,0.212,0.999945
0.372,0.393,0.409,0.422,0.237,0.256,0.276,0.322,82.3,84.2,86.2,90.7,10130.6,11144.9,11979.7,14387,0.457,0.51,0.56,0.683,0.546,0.567,0.571,0.579,0.434,0.587,0.672,0.795,0.111,0.159,0.187,0.197,0.911575
0.429,0.45,0.466,0.506,0.131,0.14,0.143,0.143,98.8,99.7,99.9,100,10879.8,11474.2,11658.7,11685.6,0.548,0.577,0.587,0.59,0.427,0.492,0.546,0.591,0.399,0.554,0.649,0.789,0.268,0.347,0.374,0.428,1
0.165,0.198,0.268,0.294,0,0,0,0,99.8,99.8,99.8,99.8,403.1,483.8,802.9,1197,0.003,0.003,0.005,0.006,-0.005,0,0,0.001,0.158,0.19,0.317,0.572,0.011,0.013,0.021,0.058,0.5
0.131,0.157,0.228,0.259,0.137,0.164,0.274,0.322,81.2,84,94.9,99.8,7830.1,9396.2,14775.7,17826.1,0.386,0.463,0.719,0.891,-0.096,-0.039,-0.005,0,0.158,0.189,0.315,0.571,0.007,0.008,0.014,0.039,1
0.136,0.163,0.233,0.322,0.135,0.162,0.271,0.361,74.3,77,87.8,96.9,6720.6,8064.7,12286.6,18448.2,0.303,0.364,0.547,0.878,-0.104,-0.05,-0.009,0,0.158,0.19,0.316,0.572,0.006,0.007,0.012,0.036,0.99984
0.133,0.16,0.225,0.301,0.135,0.162,0.27,0.361,74.4,77.1,87.9,97,10119.3,10119.3,12342.3,18526,0.458,0.458,0.552,0.885,0.135,0.135,0.177,0.368,0.158,0.19,0.316,0.572,0.009,0.009,0.013,0.036,0.996012
0.136,0.163,0.235,0.337,0.012,0.014,0.024,0.072,91.2,91.4,92.4,97.1,5539,5539,7150.7,16421.2,0.164,0.164,0.206,0.401,0.05,0.05,0.065,0.127,0.158,0.19,0.316,0.572,0.009,0.009,0.013,0.036,0.951702
0.138,0.166,0.241,0.298,0.135,0.162,0.27,0.359,74.5,77.2,88,96.9,10120.1,10120.1,12352,18418.5,0.457,0.457,0.551,0.875,0.137,0.137,0.18,0.378,0.158,0.19,0.316,0.572,0.009,0.009,0.012,0.035,0.996582
0.14,0.168,0.245,0.268,0.123,0.147,0.246,0.29,82.8,85.3,95.1,99.5,12806.2,12806.2,16327.7,19615,0.544,0.544,0.685,0.846,0.109,0.109,0.143,0.303,0.158,0.19,0.316,0.572,0.009,0.009,0.012,0.035,0.996586
0.134,0.161,0.245,0.39,0,0,0,0.001,99.7,99.7,99.7,99.9,1851.7,2222.1,3695.4,8999.6,0.007,0.008,0.013,0.029,0.017,0.022,0.038,0.112,0.159,0.19,0.317,0.572,0.01,0.012,0.021,0.058,0.886525
0.122,0.147,0.208,0.34,0.016,0.02,0.033,0.098,87.9,88.2,89.5,96.1,2510.7,3012.8,4691.6,11507.9,0.125,0.15,0.224,0.489,-0.06,-0.026,-0.005,0,0.158,0.19,0.317,0.572,0.009,0.011,0.018,0.05,0.987623
0.147,0.176,0.245,0.272,0,0,0,0,99.7,99.7,99.7,99.7,0,0,0,0,0,0,0,0,-0.004,-0.002,-0.001,-0.001,0.255,0.306,0.465,0.634,0.015,0.018,0.031,0.091,0.037037
0.12,0.168,0.221,0.232,0.017,0.024,0.032,0.04,93.8,94.5,95.3,96.1,5254.8,7356.8,10140.1,12222.4,0.11,0.155,0.213,0.254,0.035,0.049,0.067,0.081,0,0,0.001,0.002,0,0,0,0,0.791582
0.128,0.18,0.242,0.265,0.002,0.003,0.004,0.007,99.2,99.3,99.5,99.7,4778.2,6689.5,10559.2,14937.4,0.025,0.034,0.05,0.064,-0.002,-0.001,0,0,0,0,0.001,0.002,0,0,0,0,0.779412
0.085,0.119,0.158,0.182,0.015,0.02,0.027,0.027,98.2,98.8,99.4,99.4,9162.3,12827.2,16506.9,16768.1,0.105,0.147,0.187,0.188,0.026,0.036,0.05,0.064,0,0,0.001,0.002,0,0,0,0,0.988202
0.103,0.145,0.194,0.234,0,0,0,0,99.3,99.3,99.3,99.3,342.5,479.6,765.4,1485.1,0.005,0.007,0.01,0.015,0.005,0.008,0.01,0.01,0,0,0.001,0.002,0,0,0,0,0.214015
0.09,0.126,0.171,0.197,0.001,0.001,0.002,0.006,96.7,96.7,96.8,97.2,2304.1,3225.8,4964.4,8414.9,0.045,0.063,0.09,0.129,-0.006,-0.004,0,0,0,0,0.001,0.002,0,0,0,0,0.571743
0.113,0.158,0.202,0.202,0.015,0.021,0.028,0.034,94.5,95.1,95.8,96.3,5390.2,7546.3,10206,12185.3,0.106,0.148,0.2,0.237,0.014,0.02,0.028,0.037,0,0,0.001,0.002,0,0,0,0,0.314656
0.129,0.18,0.235,0.242,0.003,0.004,0.007,0.014,95.5,95.6,95.9,96.7,2771,3879.3,6049.3,9351.1,0.053,0.074,0.11,0.152,-0.006,-0.004,0,0,0,0,0.001,0.002,0,0,0,0,0.541063
0.105,0.148,0.192,0.207,0.016,0.023,0.031,0.036,94.4,95,95.8,96.3,5576.8,7807.6,10713.3,12822.8,0.112,0.157,0.216,0.259,0.012,0.017,0.025,0.035,0,0,0.001,0.002,0,0,0,0,0.407471
0.114,0.16,0.203,0.215,0.016,0.022,0.03,0.032,96.9,97.5,98.3,98.5,7324,10253.6,13595.3,14511.4,0.099,0.139,0.183,0.197,0.021,0.03,0.041,0.052,0,0,0.001,0.002,0,0,0,0,0.672395
0.06,0.06,0.08,0.119,0,0,0,0,99.9,99.9,99.9,100,5291.8,5291.8,7055.7,21167.2,0.002,0.002,0.003,0.008,-0.005,-0.005,0.001,0.009,0.215,0.215,0.287,0.598,0.113,0.113,0.151,0.244,0.493976
0.085,0.085,0.113,0.186,0.002,0.002,0.003,0.008,97.5,97.5,97.7,99.1,1935.2,1935.2,2580.3,7481.2,0.012,0.012,0.017,0.048,-0.001,-0.001,0.006,0.012,0.216,0.216,0.288,0.598,0.01,0.01,0.013,0.028,0.382918
0.077,0.077,0.103,0.174,0.001,0.001,0.002,0.005,97.8,97.8,98,99.2,1421.6,1421.6,1895.5,5686.6,0.009,0.009,0.012,0.036,0,0,0.004,0.007,0.216,0.216,0.288,0.598,0.012,0.012,0.015,0.032,0.260932
0.032,0.032,0.043,0.074,0,0,0,0,99.8,99.8,99.8,99.9,1598.4,1598.4,2131.2,6393.7,0.001,0.001,0.002,0.005,-0.002,-0.002,0,0.005,0.215,0.215,0.287,0.598,0.064,0.064,0.086,0.142,0.131429
0.084,0.084,0.112,0.185,0.002,0.002,0.002,0.006,97.5,97.5,97.7,99.1,2189.8,2189.8,2919.7,8491,0.014,0.014,0.019,0.055,0,0,0.006,0.013,0.216,0.216,0.288,0.598,0.01,0.01,0.014,0.029,0.489002
0.074,0.074,0.099,0.19,0.002,0.002,0.003,0.008,97.5,97.5,97.7,99.1,1935.2,1935.2,2580.3,7481.2,0.012,0.012,0.017,0.048,-0.001,-0.001,0.006,0.012,0.216,0.216,0.288,0.598,0.01,0.01,0.013,0.028,0.346547
0.07,0.07,0.093,0.101,0,0,0,0.001,99.6,99.6,99.7,99.9,4344.6,4344.6,5792.8,16390,0.006,0.006,0.008,0.021,-0.001,-0.001,0.005,0.016,0.216,0.216,0.288,0.598,0.042,0.042,0.056,0.094,0.209913
0.082,0.082,0.11,0.18,0.002,0.002,0.002,0.006,97.6,97.6,97.8,99.1,1756,1756,2341.4,6744,0.011,0.011,0.015,0.044,0,0,0.006,0.011,0.216,0.216,0.288,0.598,0.011,0.011,0.014,0.03,0.149208
0.083,0.083,0.11,0.185,0.002,0.002,0.002,0.007,97.5,97.5,97.7,99.1,1909.2,1909.2,2545.6,7636.9,0.012,0.012,0.016,0.049,-0.001,-0.001,0.004,0.006,0.216,0.216,0.288,0.598,0.01,0.01,0.014,0.029,0.418489
0.075,0.075,0.099,0.186,0.002,0.002,0.002,0.006,97.5,97.5,97.7,99.1,1947,1947,2596,7526.6,0.012,0.012,0.017,0.048,-0.001,-0.001,0.006,0.012,0.216,0.216,0.288,0.598,0.01,0.01,0.013,0.028,0.484485
0.08,0.08,0.107,0.185,0.002,0.002,0.002,0.006,97.5,97.5,97.7,99.1,2131.5,2131.5,2842,8260.5,0.014,0.014,0.018,0.053,-0.001,-0.001,0.006,0.012,0.216,0.216,0.288,0.598,0.01,0.01,0.014,0.029,0.350993
0.192,0.192,0.256,0.568,0,0,0,0,100,100,100,100,9178,9178,12237.4,29095,0.002,0.002,0.003,0.007,-0.001,-0.001,0.011,0.036,0.216,0.216,0.288,0.598,0.202,0.202,0.27,0.423,0.916667
0.003,0.003,0.003,0.009,0,0,0,0,100,100,100,100,0,0,0,0,0,0,0,0,0.002,0.002,0.004,0.009,0.215,0.215,0.287,0.598,0.184,0.184,0.245,0.305,1
0.096,0.096,0.128,0.212,0,0,0,0,99.9,99.9,100,100,6929.5,6929.5,9239.3,27717.8,0.002,0.002,0.003,0.008,0.005,0.005,0.007,0.024,0.215,0.215,0.287,0.598,0.14,0.14,0.186,0.285,0.451613
0.354,0.394,0.425,0.442,0.319,0.338,0.359,0.377,91.2,93.1,95.1,97,12554.6,13715,14778,15995.3,0.607,0.677,0.732,0.823,0.511,0.767,0.784,0.787,0.467,0.597,0.674,0.791,0.15,0.18,0.188,0.216,0.953218
0.356,0.392,0.428,0.531,0.329,0.36,0.381,0.428,86.4,89.5,91.6,96.3,11439.5,13155.4,14352.5,17259.9,0.499,0.586,0.651,0.798,0.458,0.638,0.652,0.655,0.483,0.607,0.683,0.806,0.136,0.163,0.17,0.189,0.917043
0.332,0.365,0.399,0.429,0.02,0.029,0.036,0.052,92.2,93.2,93.8,95.5,5188.3,6903.3,8091.1,10868.5,0.122,0.159,0.182,0.24,0.342,0.42,0.494,0.542,0.483,0.607,0.683,0.806,0.17,0.257,0.327,0.512,0.909024
0.344,0.38,0.414,0.485,0.274,0.29,0.303,0.31,89.9,91.4,92.8,93.6,12856.5,13799.9,14717,15210,0.536,0.585,0.632,0.682,0.452,0.741,0.774,0.776,0.483,0.607,0.683,0.806,0.115,0.147,0.167,0.209,0.976927
0.343,0.366,0.377,0.405,0.326,0.357,0.377,0.426,86.9,90,91.9,96.8,11688.8,13352.8,14532.2,17596.5,0.511,0.595,0.663,0.824,0.467,0.648,0.662,0.665,0.483,0.607,0.683,0.806,0.139,0.164,0.17,0.193,0.941233
0.326,0.354,0.374,0.411,0.329,0.36,0.381,0.428,86.4,89.5,91.7,96.3,11458.7,13170.9,14377.4,17276.2,0.5,0.588,0.653,0.8,0.459,0.638,0.653,0.655,0.483,0.607,0.683,0.806,0.136,0.163,0.17,0.189,0.935565
0.373,0.443,0.518,0.811,0.045,0.056,0.064,0.095,90.2,91.3,92,95.1,4666.8,5587.8,6428,9499.7,0.224,0.281,0.326,0.465,0.424,0.506,0.525,0.546,0.512,0.648,0.725,0.822,0.186,0.295,0.402,0.521,0.974575
0.326,0.36,0.378,0.405,0.001,0.002,0.004,0.004,98.7,98.8,98.9,98.9,1563.7,2706.4,3848,5320.9,0.028,0.039,0.045,0.064,0.137,0.225,0.288,0.356,0.547,0.692,0.775,0.881,0.2,0.311,0.376,0.436,0.861685
0.376,0.458,0.521,0.61,0,0,0,0,99.9,99.9,99.9,99.9,387.5,679.5,886.8,1200.5,0.002,0.003,0.004,0.004,0.085,0.158,0.227,0.436,0.561,0.701,0.781,0.884,0.31,0.504,0.571,0.687,0.46875
0.379,0.408,0.423,0.441,0.002,0.003,0.003,0.004,99.7,99.8,99.8,99.9,3401.1,3792,4258.8,5699.2,0.029,0.032,0.034,0.042,0.032,0.063,0.095,0.17,0.4,0.543,0.635,0.778,0.237,0.351,0.446,0.593,1
0.563,0.708,0.841,0.999,0.464,0.472,0.473,0.475,98.5,99.4,99.5,99.6,13297.7,13673.2,13697.9,13746.1,0.934,0.963,0.966,0.968,0.099,0.198,0.331,0.605,0.401,0.54,0.63,0.77,0.159,0.249,0.304,0.484,0.995561
0.471,0.54,0.591,0.826,0.01,0.012,0.013,0.013,99.4,99.6,99.6,99.7,4707,5387.1,5502,5650.4,0.091,0.1,0.101,0.104,0.163,0.228,0.265,0.358,0.4,0.544,0.636,0.779,0.198,0.306,0.381,0.426,0.997297
0.408,0.432,0.454,0.496,0.291,0.297,0.302,0.309,95.8,96.3,96.9,97.5,8290.5,8538.4,8823.1,9038.2,0.706,0.739,0.772,0.802,0.15,0.211,0.282,0.348,0.398,0.543,0.631,0.779,0.132,0.194,0.225,0.256,0.988267
0.392,0.427,0.442,0.464,0.291,0.297,0.302,0.309,95.6,96.2,96.7,97.4,8224.5,8465,8730.9,8980.6,0.699,0.73,0.762,0.796,0.151,0.211,0.281,0.349,0.398,0.543,0.631,0.779,0.114,0.162,0.188,0.255,0.987945
0.369,0.395,0.419,0.456,0.205,0.234,0.272,0.281,90.4,93.3,97.1,98,6629.2,7807.2,8937.4,9268.9,0.568,0.675,0.774,0.813,0.428,0.476,0.532,0.657,0.398,0.543,0.631,0.779,0.153,0.247,0.314,0.519,0.999862
0.374,0.392,0.399,0.41,0.297,0.304,0.309,0.315,95.9,96.4,96.9,97.6,8350.4,8610.4,8846,9138.1,0.719,0.749,0.781,0.82,0.147,0.205,0.272,0.336,0.398,0.543,0.631,0.779,0.133,0.183,0.202,0.256,0.963337
0.376,0.408,0.438,0.548,0.332,0.353,0.361,0.362,96,98.2,98.9,99.1,8578.9,9297.6,9587.3,9667.4,0.769,0.848,0.884,0.894,0.068,0.136,0.226,0.382,0.398,0.543,0.631,0.779,0.135,0.19,0.23,0.302,0.97649
0.413,0.452,0.486,0.509,0.291,0.297,0.302,0.309,95.8,96.3,96.9,97.5,8290.5,8538.4,8823.1,9038.2,0.706,0.739,0.772,0.802,0.15,0.211,0.281,0.348,0.398,0.543,0.631,0.779,0.132,0.194,0.225,0.256,0.988286
