@relation 'bigTable-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.Remove-R33,35-38'

@attribute RF_10 numeric
@attribute RF_5 numeric
@attribute RF_3 numeric
@attribute RF_1 numeric
@attribute J4_10 numeric
@attribute J4_5 numeric
@attribute J4_3 numeric
@attribute J4_1 numeric
@attribute OR_10 numeric
@attribute OR_5 numeric
@attribute OR_3 numeric
@attribute OR_1 numeric
@attribute CS_10 numeric
@attribute CS_5 numeric
@attribute CS_3 numeric
@attribute CS_1 numeric
@attribute IG_10 numeric
@attribute IG_5 numeric
@attribute IG_3 numeric
@attribute IG_1 numeric
@attribute P_10 numeric
@attribute P_5 numeric
@attribute P_3 numeric
@attribute P_1 numeric
@attribute PCA_10 numeric
@attribute PCA_5 numeric
@attribute PCA_3 numeric
@attribute PCA_1 numeric
@attribute R_10 numeric
@attribute R_5 numeric
@attribute R_3 numeric
@attribute R_1 numeric
@attribute Recall numeric

@data
0.267,0.288,0.302,0.312,0.005,0.007,0.008,0.009,91.7,91.8,91.9,92,604.9,731.2,800.3,895.7,0.076,0.089,0.096,0.108,0.115,0.136,0.148,0.198,0.092,0.155,0.202,0.28,0.012,0.015,0.016,0.017,0.524096
0.273,0.304,0.317,0.322,0.009,0.013,0.014,0.014,94,94.3,94.4,94.6,687.5,856.2,912.4,992.5,0.062,0.076,0.08,0.087,-0.083,-0.055,-0.04,0.005,0.073,0.122,0.165,0.29,0.016,0.018,0.021,0.023,0.373494
0.341,0.362,0.374,0.389,0.01,0.014,0.015,0.017,95.1,95.5,95.7,95.9,1232.4,1498.8,1639.4,1876.5,0.153,0.177,0.188,0.202,-0.095,-0.072,-0.062,-0.021,0.071,0.118,0.161,0.289,0.022,0.026,0.031,0.045,0.46988
0.462,0.514,0.541,0.597,0.003,0.004,0.004,0.005,98.8,98.9,98.9,99,1482.6,1790.7,1930.1,2065.2,0.068,0.078,0.082,0.086,0.268,0.341,0.368,0.457,0.092,0.154,0.201,0.28,0.1,0.13,0.156,0.214,1
0.496,0.611,0.69,0.734,0.006,0.01,0.01,0.011,99.5,99.8,99.9,100,2125,2943.6,3150.6,3368,0.067,0.083,0.086,0.089,-0.33,-0.293,-0.268,-0.23,0.072,0.12,0.164,0.289,0.564,0.634,0.702,0.808,1
0.319,0.348,0.368,0.39,0.005,0.005,0.005,0.006,97,97,97,97.1,1079.9,1232.2,1292.4,1478,0.107,0.122,0.127,0.132,0.055,0.071,0.082,0.121,0.096,0.161,0.209,0.279,0.019,0.023,0.026,0.039,1
0.262,0.294,0.309,0.324,0,0,0,0,95.7,95.7,95.7,95.8,0,0,0,0,0,0,0,0,0.018,0.027,0.033,0.05,0.097,0.162,0.211,0.28,0.013,0.015,0.016,0.017,0.15
0.29,0.321,0.345,0.38,0.04,0.051,0.055,0.059,98.2,99.2,99.5,100,7426.9,9017.9,9648.6,10500,0.242,0.278,0.298,0.325,-0.033,0.032,0.063,0.074,0.299,0.468,0.563,0.682,0.147,0.245,0.356,0.456,1
0.198,0.212,0.216,0.221,0.034,0.042,0.046,0.048,95.3,96,96.3,96.7,4368.3,5051.4,5522.2,5915,0.153,0.171,0.187,0.201,-0.077,-0.026,-0.003,0.003,0.299,0.47,0.566,0.686,0.045,0.06,0.072,0.089,0.734951
0.197,0.211,0.218,0.224,0.029,0.044,0.047,0.048,95,96.3,96.7,96.7,4062.5,5412.6,5869.1,5894.4,0.145,0.183,0.196,0.197,0.124,0.144,0.15,0.16,0.372,0.574,0.69,0.824,0.046,0.061,0.075,0.1,0.735922
0.193,0.206,0.211,0.215,0.016,0.019,0.022,0.025,95.7,96.1,96.3,96.6,2991.9,3514.6,3863,4145.9,0.085,0.098,0.105,0.111,-0.113,-0.048,-0.025,-0.006,0.3,0.471,0.566,0.685,0.045,0.061,0.073,0.092,0.381553
0.342,0.381,0.406,0.452,0.041,0.053,0.056,0.061,98.1,99.1,99.5,100,7137.4,8721.7,9331.5,10155,0.247,0.285,0.305,0.333,-0.034,0.031,0.06,0.075,0.297,0.466,0.559,0.678,0.146,0.244,0.356,0.455,0.719417
0.392,0.447,0.471,0.547,0.006,0.011,0.013,0.013,99.4,99.8,100,100,5502.3,8476.8,9657,9657,0.072,0.091,0.1,0.1,0.136,0.156,0.159,0.162,0.373,0.574,0.689,0.821,0.221,0.345,0.477,0.518,1
0.102,0.106,0.108,0.112,0.013,0.013,0.013,0.013,100,100,100,100,9661,9661,9661,9661,0.102,0.102,0.102,0.102,-0.374,-0.234,-0.162,-0.114,0.299,0.47,0.565,0.686,0.588,0.668,0.727,0.883,1
