* Report for MADneSs activity on Fri Jun 22 14:25:17 CEST 2018
dataset,runs,algorithm,window_size,window_policy,setup,metric_score,True Positives,True Negatives,False Positives,False Negatives,False Positive Rate,Precision,Recall,F-Measure,FScore(2.0),Accuracy,MatthewsCorrelationCoefficient,AUC
iscx_synthetic_point,0-2,[WEKA_ISOLATIONFOREST],,,BEST 10 -  HALF,0.37567120399456727,9.333333333333334,151.66666666666666,38.333333333333336,0.6666666666666666,0.2011300547595917,0.20314372049455556,0.9444444444444445,0.3252275194122067,0.517664023071377,0.805,0.37567120399456727,0.4019757714617979
iscx_synthetic_point,0-2,[HBOS],,,BEST 3 - ALL,0.7110890002569371,4.666666666666667,190.0,0.0,5.333333333333333,0.0,1.0,0.5337606837606838,0.6775599128540305,0.5812093125896501,0.9733333333333333,0.7110890002569371,0.6986687611201554
iscx_synthetic_point,0-2,[HBOS],,,BEST 3 - ALL,0.7110890002569371,4.666666666666667,190.0,0.0,5.333333333333333,0.0,1.0,0.5337606837606838,0.6775599128540305,0.5812093125896501,0.9733333333333333,0.7110890002569371,0.6986687611201554
iscx_synthetic_point,0-2,[HBOS],,,BEST 3 - ALL,0.7110890002569371,4.666666666666667,190.0,0.0,5.333333333333333,0.0,1.0,0.5337606837606838,0.6775599128540305,0.5812093125896501,0.9733333333333333,0.7110890002569371,0.6986687611201554
iscx_synthetic_point,0-2,[HBOS],,,BEST 3 - ALL,0.7318492565182626,5.0,190.0,0.0,5.0,0.0,1.0,0.5615384615384615,0.7037037037037037,0.6091617933723197,0.975,0.7318492565182626,0.7974285207271944
iscx_synthetic_point,0-2,[HBOS],,,BEST 3 - ALL,0.7100146368294645,4.666666666666667,190.0,0.0,5.333333333333333,0.0,1.0,0.5358974358974359,0.6753812636165577,0.582010582010582,0.9733333333333333,0.7100146368294645,0.7099682726030272
iscx_synthetic_point,0-2,[HBOS],,,BEST 3 - ALL,0.6892543805681391,4.333333333333333,190.0,0.0,5.666666666666667,0.0,1.0,0.5081196581196582,0.6492374727668846,0.5540581012279125,0.9716666666666667,0.6892543805681391,0.7099682726030266
iscx_synthetic_point,0-2,[HBOS],,,BEST 3 - ALL,0.7799801096919573,9.0,185.33333333333334,4.666666666666667,1.0,0.02471436226129593,0.6904761904761906,0.9188034188034188,0.7824074074074074,0.8567703175546314,0.9716666666666667,0.7799801096919573,0.9022667304654978
iscx_synthetic_point,0-2,[HBOS],,,BEST 3 - ALL,0.7318492565182626,5.0,190.0,0.0,5.0,0.0,1.0,0.5615384615384615,0.7037037037037037,0.6091617933723197,0.975,0.7318492565182626,0.7974285207271944
iscx_synthetic_point,0-2,[HBOS],,,BEST 3 - ALL,0.6719243641242896,6.666666666666667,186.66666666666666,3.3333333333333335,3.3333333333333335,0.017612682130829813,0.6962962962962962,0.6940170940170939,0.6823793490460157,0.6866297030231457,0.9666666666666667,0.6719243641242896,0.8148064823413305
iscx_synthetic_point,0-2,[HBOS],,,BEST 3 - ALL,0.7799801096919573,9.0,185.33333333333334,4.666666666666667,1.0,0.02471436226129593,0.6904761904761906,0.9188034188034188,0.7824074074074074,0.8567703175546314,0.9716666666666667,0.7799801096919573,0.9022667304654978
iscx_synthetic_point,0-2,[HBOS],,,BEST 3 - ALL,0.6719243641242896,6.666666666666667,186.66666666666666,3.3333333333333335,3.3333333333333335,0.017612682130829813,0.6962962962962962,0.6940170940170939,0.6823793490460157,0.6866297030231457,0.9666666666666667,0.6719243641242896,0.8148064823413305
iscx_synthetic_point,0-2,[HBOS],,,BEST 3 - ALL,0.6892543805681391,4.333333333333333,190.0,0.0,5.666666666666667,0.0,1.0,0.5081196581196582,0.6492374727668846,0.5540581012279125,0.9716666666666667,0.6892543805681391,0.7100929395620309
iscx_synthetic_point,0-2,[HBOS],,,BEST 3 - ALL,0.7110890002569371,4.666666666666667,190.0,0.0,5.333333333333333,0.0,1.0,0.5337606837606838,0.6775599128540305,0.5812093125896501,0.9733333333333333,0.7110890002569371,0.6986687611201554
iscx_synthetic_point,0-2,[HBOS],,,BEST 3 - ALL,0.6959517445716449,6.666666666666667,187.0,3.0,3.3333333333333335,0.015903280421428106,0.7407407407407408,0.6940170940170939,0.7066217732884401,0.696886113279556,0.9683333333333334,0.6959517445716449,0.814681815382326
iscx_synthetic_point,0-2,[HBOS],,,BEST 3 - ALL,0.6959517445716449,6.666666666666667,187.0,3.0,3.3333333333333335,0.015903280421428106,0.7407407407407408,0.6940170940170939,0.7066217732884401,0.696886113279556,0.9683333333333334,0.6959517445716449,0.814681815382326
iscx_synthetic_point,0-2,[HBOS],,,BEST 3 - ALL,0.7110890002569371,4.666666666666667,190.0,0.0,5.333333333333333,0.0,1.0,0.5337606837606838,0.6775599128540305,0.5812093125896501,0.9733333333333333,0.7110890002569371,0.6986687611201554
iscx_synthetic_point,0-2,[HBOS],,,BEST 3 - ALL,0.6959517445716449,6.666666666666667,187.0,3.0,3.3333333333333335,0.015903280421428106,0.7407407407407408,0.6940170940170939,0.7066217732884401,0.696886113279556,0.9683333333333334,0.6959517445716449,0.814681815382326
iscx_synthetic_point,0-2,[HBOS],,,BEST 3 - ALL,0.6959517445716449,6.666666666666667,187.0,3.0,3.3333333333333335,0.015903280421428106,0.7407407407407408,0.6940170940170939,0.7066217732884401,0.696886113279556,0.9683333333333334,0.6959517445716449,0.814681815382326
