data_series,algorithm_type,reputation_score,metric_score(MatthewsCorrelationCoefficient),configuration
totalSourceBytes#PLAIN#NO_LAYER@totalDestinationPackets#PLAIN#NO_LAYER#PLAIN#COMPOSITION§WEKA_ISOLATIONFOREST§0.0§0.42981964721632776§auc_score=0.7229061075583035&sample_size=200&n_trees=2&tmp_file=iforest_tmp\totalSourceBytesP;totalDestinationPacketsP.iforest&
totalSourceBytes#PLAIN#NO_LAYER@totalSourcePackets#PLAIN#NO_LAYER#PLAIN#COMPOSITION§WEKA_ISOLATIONFOREST§0.0§0.34280663333037836§auc_score=0.5394890116181673&sample_size=100&n_trees=5&tmp_file=iforest_tmp\totalSourceBytesP;totalSourcePacketsP.iforest&
totalDestinationPackets#PLAIN#NO_LAYER@totalSourcePackets#PLAIN#NO_LAYER#PLAIN#COMPOSITION§WEKA_ISOLATIONFOREST§0.0§0.30890568053095085§auc_score=0.6953373332545991&sample_size=100&n_trees=20&tmp_file=iforest_tmp\totalDestinationPacketsP;totalSourcePacketsP.iforest&
totalSourceBytes#PLAIN#NO_LAYER@sourcePort#PLAIN#NO_LAYER#PLAIN#COMPOSITION§WEKA_ISOLATIONFOREST§0.0§0.28311684353614053§auc_score=0.0&sample_size=100&n_trees=3&tmp_file=iforest_tmp\totalSourceBytesP;sourcePortP.iforest&
sourcePort#PLAIN#NO_LAYER@totalSourcePackets#PLAIN#NO_LAYER#PLAIN#COMPOSITION§WEKA_ISOLATIONFOREST§0.0§0.27736784777696405§auc_score=0.2498706380463289&sample_size=200&n_trees=1&tmp_file=iforest_tmp\sourcePortP;totalSourcePacketsP.iforest&
totalDestinationPackets#PLAIN#NO_LAYER@totalSourceBytes#PLAIN#NO_LAYER@sourcePort#PLAIN#NO_LAYER@totalSourcePackets#PLAIN#NO_LAYER@destinationPort#PLAIN#NO_LAYER@totalDestinationBytes#PLAIN#NO_LAYER#PLAIN#COMPOSITION§WEKA_ISOLATIONFOREST§0.0§0.2676759776496251§auc_score=0.33329272451073255&sample_size=50&n_trees=1&tmp_file=iforest_tmp\totalDestinationPacketsP;totalSourceBytesP;sourcePortP;totalSourcePacketsP;destinationPortP;totalDestinationBytesP.iforest&
sourcePort#PLAIN#NO_LAYER@totalDestinationPackets#PLAIN#NO_LAYER#PLAIN#COMPOSITION§WEKA_ISOLATIONFOREST§0.0§0.26169111887623236§auc_score=0.0&sample_size=100&n_trees=5&tmp_file=iforest_tmp\sourcePortP;totalDestinationPacketsP.iforest&
totalSourcePackets#DIFFERENCE#NO_LAYER@totalSourceBytes#DIFFERENCE#NO_LAYER#PLAIN#COMPOSITION§WEKA_ISOLATIONFOREST§0.0§0.18863774969904346§auc_score=0.5398528300898819&sample_size=200&n_trees=1&tmp_file=iforest_tmp\totalSourcePacketsD;totalSourceBytesD.iforest&
totalSourcePackets#DIFFERENCE#NO_LAYER@totalDestinationPackets#DIFFERENCE#NO_LAYER#PLAIN#COMPOSITION§WEKA_ISOLATIONFOREST§0.0§0.16464223984343407§auc_score=0.5604828462677788&sample_size=200&n_trees=3&tmp_file=iforest_tmp\totalSourcePacketsD;totalDestinationPacketsD.iforest&
totalSourceBytes#DIFFERENCE#NO_LAYER@totalDestinationPackets#DIFFERENCE#NO_LAYER#PLAIN#COMPOSITION§WEKA_ISOLATIONFOREST§0.0§0.11217279901094734§auc_score=0.3785262232721874&sample_size=20&n_trees=10&tmp_file=iforest_tmp\totalSourceBytesD;totalDestinationPacketsD.iforest&
sourcePort#DIFFERENCE#NO_LAYER@totalDestinationPackets#DIFFERENCE#NO_LAYER#PLAIN#COMPOSITION§WEKA_ISOLATIONFOREST§0.0§0.08410853125144731§auc_score=0.5110556975937903&sample_size=50&n_trees=1&tmp_file=iforest_tmp\sourcePortD;totalDestinationPacketsD.iforest&
sourcePort#DIFFERENCE#NO_LAYER@totalSourceBytes#DIFFERENCE#NO_LAYER#PLAIN#COMPOSITION§WEKA_ISOLATIONFOREST§0.0§0.06803202201763119§auc_score=0.4771287083755388&sample_size=50&n_trees=1&tmp_file=iforest_tmp\sourcePortD;totalSourceBytesD.iforest&
totalSourcePackets#DIFFERENCE#NO_LAYER@sourcePort#DIFFERENCE#NO_LAYER#PLAIN#COMPOSITION§WEKA_ISOLATIONFOREST§0.0§0.030222695294568197§auc_score=0.4098787819740426&sample_size=200&n_trees=1&tmp_file=iforest_tmp\totalSourcePacketsD;sourcePortD.iforest&
