indicator_name,weigth,score,interval_width
CommittedVirtualMemorySize#DIFFERENCE_HIST,1.0, 0.0, 0.5
Tcp_TimeWait#PLAIN_HIST,1.0, 0.0, 0.5
UsageThresholdCount#DIFFERENCE_HIST,1.0, 0.0, 0.5
Tcp_Syn#DIFFERENCE_HIST,1.0, 0.0, 0.5
Deactivated Virtual Pages#PLAIN_SPS,1.0, 0.0, 0.9999,0.9999,0.9999,0.9999,10,10,0,
SystemCpuLoad#PLAIN_SPS,1.0, 0.04320317363795625, 0.999,0.999,0.999,0.999,20,20,1,
Minor Page Faults#DIFFERENCE_SPS,1.0, 0.0485025843721496, 0.99,0.99,0.99,0.99,40,40,1,
Inactive Memory#DIFFERENCE_HIST,1.0, 0.0, 0.5
ProcessCpuLoad#PLAIN_SPS,1.0, 0.029399585921325053, 0.9999,0.9999,0.9999,0.9999,30,30,0,
CPU I/O Wait Processes#PLAIN_HIST,1.0, 0.0, 0.5
TotalLoadedClassCount#PLAIN_HIST,1.0, 0.0, 0.5
CommittedVirtualMemorySize#PLAIN_SPS,1.0, 0.30012077294685985, 0.9999,0.9999,0.9999,0.9999,30,30,1,
Active Files#DIFFERENCE_HIST,1.0, 0.0, 0.5
CPU Kernel Processes#PLAIN_HIST,1.0, 0.0, 0.5
Inactive Files#DIFFERENCE_HIST,1.0, 0.0, 0.5
CurrentThreadUserTime#DIFFERENCE_SPS,1.0, 0.06174805661277596, 0.99,0.99,0.99,0.99,20,20,1,
CPU I/O Wait Processes#DIFFERENCE_HIST,1.0, 0.0, 0.5
Buffers#DIFFERENCE_HIST,1.0, 0.0, 0.5
FreePhysicalMemorySize#DIFFERENCE_SPS,1.0, 0.06174805661277596, 0.99,0.99,0.99,0.99,20,20,1,
Page Allocations DMA#DIFFERENCE_SPS,1.0, 0.0, 0.9999,0.9999,0.9999,0.9999,10,10,0,
CPU Interrupts#DIFFERENCE_HIST,1.0, 0.07402794068304362, 1.5
SystemCpuLoad#PLAIN_HIST,1.0, 0.03905742977454308, 2.5
PeakUsage.used#PLAIN_SPS,1.0, 0.0, 0.9999,0.9999,0.9999,0.9999,10,10,0,
ProcessCpuTime#DIFFERENCE_HIST,1.0, 0.0, 0.5
CPU Soft Interrupts#PLAIN_SPS,1.0, 0.08695652173913043, 0.9999,0.9999,0.9999,0.9999,20,20,0,
CPU Kernel Processes#DIFFERENCE_SPS,1.0, 0.06174805661277596, 0.99,0.99,0.99,0.99,20,20,1,
Buffers#PLAIN_HIST,1.0, 0.0, 0.5
LoadedClassCount#PLAIN_SPS,1.0, 0.08695652173913043, 0.9999,0.9999,0.9999,0.9999,20,20,0,
FreePhysicalMemorySize#DIFFERENCE_HIST,1.0, 0.0, 0.5
Usage.used#DIFFERENCE_SPS,1.0, 0.0, 0.9999,0.9999,0.9999,0.9999,10,10,0,
Free Virtual Pages#DIFFERENCE_SPS,1.0, 0.04320317363795625, 0.999,0.999,0.999,0.999,20,20,1,
OpenFileDescriptorCount#PLAIN_HIST,1.0, 0.0, 0.5
CollectionTime#DIFFERENCE_SPS,1.0, 0.0, 0.9999,0.9999,0.9999,0.9999,10,10,0,
CollectionUsage.used#PLAIN_HIST,1.0, 0.0, 0.5
CurrentThreadUserTime#PLAIN_SPS,1.0, 0.0, 0.9999,0.9999,0.9999,0.9999,10,10,0,
Minor Page Faults#PLAIN_HIST,1.0, 0.0, 0.5
Net_Sent#PLAIN_HIST,1.0, 0.0, 0.5
Tcp_Established#DIFFERENCE_HIST,1.0, 0.0, 0.5
CommittedVirtualMemorySize#PLAIN_HIST,1.0, 0.0, 0.5
Activated Virtual Pages#PLAIN_HIST,1.0, 0.0, 0.5
Tcp_Syn#PLAIN_HIST,1.0, 0.0, 0.5
Free Virtual Pages#DIFFERENCE_HIST,1.0, 0.0, 0.5
Deactivated Virtual Pages#DIFFERENCE_SPS,1.0, 0.0, 0.9999,0.9999,0.9999,0.9999,10,10,0,
ThreadCount#DIFFERENCE_HIST,1.0, 0.0, 0.5
Tcp_Established#PLAIN_HIST,1.0, 0.0, 0.5
HeapMemoryUsage.used#PLAIN_HIST,1.0, 0.0, 0.5
Tcp_Close#PLAIN_HIST,1.0, 0.0, 0.5
Page Allocations DMA#DIFFERENCE_HIST,1.0, 0.0, 0.5
ThreadCount#PLAIN_SPS,1.0, 0.0, 0.9999,0.9999,0.9999,0.9999,10,10,0,
Net_Received#PLAIN_SPS,1.0, 0.0, 0.9999,0.9999,0.9999,0.9999,10,10,0,
TotalStartedThreadCount#DIFFERENCE_SPS,1.0, 0.0, 0.9999,0.9999,0.9999,0.9999,10,10,0,
