* Report for MADneSs activity on Wed Sep 04 13:00:38 CEST 2019
dataset,runs,algorithm,window_size,window_policy,setup,metric_score,True Positives,True Negatives,False Positives,False Negatives,False Positive Rate,Precision,Recall,FScore(0.5),F-Measure,FScore(2.0),Accuracy,MatthewsCorrelationCoefficient,Area Under ROC Curve,Custom,OVERLAP,OVERLAP_DETAIL
wesad_hrv,11-20,[HBOS],,,BEST 1 - 1,0.18487394957983194,0.032999999999999995,0.6760000000000002,0.22800000000000004,0.06300000000000001,0.25206409060020935,0.12875043796782926,0.38875,0.14530518041155685,0.18251272874236935,0.2561441617541621,0.709,0.07390802806345566,0.5683429546998953,0.30690340088641777,34.6,1.3
tappy,11 - 30,[HBOS],,,BEST 1 - 1,0.12063492063492062,0.019999999999999997,0.6884210526315788,0.2568421052631579,0.03473684210526316,0.27157938143582117,0.07105375354972204,0.4169514695830485,0.08352767654504548,0.11455780880903224,0.1901603464399485,0.708421052631579,0.05577152563538044,0.5726860440736136,0.23790180091339275,35.8421052631579,3.263157894736842
swell_eda,11-20,[HBOS],,,BEST 1 - 1,0.19653179190751446,0.017000000000000005,0.8440000000000001,0.088,0.051000000000000004,0.09396238100608974,0.1540384615384615,0.27232142857142855,0.16060164570644,0.17659465112304867,0.2100464472559164,0.8610000000000001,0.1232737574627926,0.5891795237826695,0.34830918643608166,53.9,1.6
swell_hrv,11 - 20,[HBOS],,,BEST 1 - 1,0.192090395480226,0.02125,0.8,0.14125000000000001,0.0375,0.14949474368220372,0.13241350367898355,0.475,0.14908266105661727,0.18915248981038454,0.2790268316302678,0.82125,0.1616328749176429,0.6627526281588982,0.42659550670423185,47.375,1.5
wesad_hrv,51-120,[ELKI_SVM],,,BEST 1 - 1,0.2115621156211562,0.012285714285714292,0.8961428571428571,0.0,0.09157142857142854,0.0,0.7428571428571429,0.1321116341033221,0.3574637273044096,0.21475384530780364,0.15580788850099336,0.9084285714285711,0.2880924345579068,0.5660558170516612,0.3030223127490235,66.57142857142857,1.0
wesad_hrv,51-120,[ELKI_SVM],,,BEST 1 - 1,0.3276083605146357,0.012285714285714292,0.8961428571428571,0.0,0.09157142857142854,0.0,0.7428571428571429,0.1321116341033221,0.3574637273044096,0.21475384530780364,0.15580788850099336,0.9084285714285711,0.2880924345579068,0.5660558170516612,0.3030223127490235,66.77142857142857,1.0
wesad_hrv,51-120,[ELKI_SVM],,,BEST 1 - 1,0.3276083605146357,0.012285714285714292,0.8961428571428571,0.0,0.09157142857142854,0.0,0.7428571428571429,0.1321116341033221,0.3574637273044096,0.21475384530780364,0.15580788850099336,0.9084285714285711,0.2880924345579068,0.5660558170516612,0.3030223127490235,67.85714285714286,1.0
wesad_eda,21-45,[HBOS],,,BEST 1 - 1,0.04516752861714095,0.015000000000000001,0.8071428571428572,0.08642857142857144,0.09142857142857144,0.09711316033900443,0.1321660482374768,0.13504301762310916,0.12956558846614713,0.12882359541566704,0.13129199421776888,0.8221428571428572,0.034502130767941105,0.5189649286420523,0.22613246549203972,71.14285714285714,3.2857142857142856
wesad_eda,21-45,[HBOS],,,BEST 1 - 1,0.06148521164021582,0.004285714285714286,0.8807142857142856,0.012857142857142857,0.10214285714285716,0.014382025682625657,0.21428571428571427,0.042694805194805195,0.11326188907710646,0.06949241234955522,0.05044732720731374,0.8849999999999999,0.059890481492253005,0.5141563897560898,0.11536378701892813,69.64285714285714,5.714285714285714
wesad_eda,21-45,[HBOS],,,BEST 1 - 1,0.2666153747178532,0.05357142857142859,0.7507142857142857,0.14285714285714293,0.052857142857142866,0.15992165189203056,0.2581932610087236,0.5119354710887892,0.28216656244437965,0.3315144411974054,0.41261175214119283,0.8042857142857144,0.2566400132937284,0.6760069095983792,0.4283370454631316,70.71428571428571,5.5
wesad_eda,21-45,[HBOS],,,BEST 1 - 1,0.07139199815571488,0.03357142857142858,0.6985714285714285,0.195,0.07285714285714284,0.21804109290057697,0.14398409252871397,0.31556621296323817,0.15831069558720748,0.1887640671313657,0.2420235948993808,0.732142857142857,0.06847215224902357,0.5487625600313307,0.29617668329125413,60.642857142857146,1.4285714285714286
wesad_eda,21-45,[HBOS],,,BEST 1 - 1,0.07139199815571488,0.03357142857142858,0.6985714285714285,0.195,0.07285714285714284,0.21804109290057697,0.14398409252871397,0.31556621296323817,0.15831069558720748,0.1887640671313657,0.2420235948993808,0.732142857142857,0.06847215224902357,0.5487625600313307,0.29617668329125413,60.642857142857146,1.4285714285714286
