interval,TP Series,FN Series,FP Series,TN Series,
0.06638247253053361,0,0,0,10.0,
0.08581581451515137,0,0,0,8.0,
0.10524915649976913,0,0,0,6.0,
0.12468249848438688,0,0,0,5.0,
0.22184920840747566,0,0,0,13.0,
0.24128255039209343,0,0,0,27.0,
0.2801492343613289,0,0,0,2.0,
0.29958257634594665,0,0,0,1.0,
0.3190159183305644,0,0,0,2.0,
0.3773159442844177,0,0,0,1.0,
0.3967492862690355,0,0,0,7.0,
0.41618262825365326,0,0,0,3.0,
0.47448265420750646,0,0,0,17.0,
0.513349338176742,0,0,0,12.0,
0.5327826801613598,0,0,0,3.0,
0.5522160221459775,0,0,0,23.0,
0.5716493641305953,0,0,0,2.0,
0.5910827061152131,0,0,0,2.0,
0.6105160480998307,0,0,0,9.0,
0.6299493900844485,0,0,0,16.0,
0.668816074053684,0,0,0,37.0,
0.6882494160383018,0,0,0,14.0,
0.7076827580229196,0,0,0,14.0,
0.7271161000075373,0,0,0,1.0,
0.7465494419921551,0,0,0,6.0,
0.7659827839767729,0,0,0,4.0,
0.7854161259613905,0,0,0,7.0,
0.8048494679460083,0,0,0,10.0,
0.8242828099306261,0,0,0,16.0,
0.8437161519152439,0,0,0,10.0,
0.8631494938998616,0,0,0,9.0,
0.8825828358844794,0,0,0,9.0,
0.9020161778690972,0,0,0,1.0,
0.9214495198537148,0,0,0,3.0,
0.9408828618383326,0,0,0,45.0,
0.9603162038229504,0,0,0,52.0,
0.9797495458075681,0,33.0,0.0,9.0,
0.9991828877921859,31.0,40.0,228.0,140.0,
1.0186162297768036,67.0,0.0,39.0,0.0,
1.0380495717614213,1182.0,0.0,31.0,0.0,
1.057482913746039,63.0,0.0,20.0,0.0,
1.0769162557306569,63.0,0.0,1.0,0.0,
1.0963495977152746,72.0,0.0,4.0,0.0,
1.1157829396998924,61.0,0.0,10.0,0.0,
1.1352162816845102,59.0,0.0,4.0,0.0,
1.1546496236691277,59.0,0.0,8.0,0.0,
1.1740829656537455,57.0,0.0,0.0,0.0,
1.1935163076383632,37.0,0.0,3.0,0.0,
1.212949649622981,0,0,0,5.0,
1.2518163335922166,0,0,0,2.0,
1.2712496755768343,0,0,0,2.0,
1.3101163595460699,0,0,0,3.0,
1.3489830435153054,0,0,0,1.0,
1.3684163854999232,0,0,0,2.0,
1.4267164114537765,0,0,0,1.0,
1.5044497793922473,0,0,0,1.0,
1.523883121376865,0,0,0,1.0,
1.5627498053461006,0,0,0,3.0,
1.5821831473307184,0,0,0,7.0,
1.6016164893153362,0,0,0,24.0,
1.621049831299954,0,0,0,9.0,
1.6404831732845717,0,0,0,1.0,
1.6599165152691895,0,0,0,2.0,
1.6793498572538073,0,0,0,1.0,
1.7182165412230428,0,0,0,2.0,
1.7570832251922783,0,0,0,13.0,
1.7765165671768959,0,0,0,1.0,
1.8153832511461314,0,0,0,1.0,
1.8348165931307492,0,0,0,1.0,
1.854249935115367,0,0,0,7.0,
1.9125499610692203,0,0,0,2.0,
1.9902833290076913,0,0,0,2.0,
